# EXPERIMENTO: Suma en paralelo
# HARDWARE: 2 F / 4 L
# ESFUERZO: Aleatorio entre 1 y 50
# ELEMENTOS: 1000000
# 
TIPO,WORKERS,TIEMPO_S,SPEEDUP,EFICIENCIA_PCT,RESULTADO
secuencial,1,0.155135751,1.0,100.0,500105.5324375518
threads,1,0.297321132,0.52,52.2,500105.5324375518
threads,2,0.138639637,1.12,55.9,500105.53243754513
threads,3,0.115379491,1.34,44.8,500105.5324375535
threads,4,0.225392268,0.69,17.2,500105.53243755037
multithreads,1,0.292643003,0.53,53.0,500105.5324375518
multithreads,2,0.162265522,0.96,47.8,500105.53243754513
multithreads,3,0.157035913,0.99,32.9,500105.5324375535
multithreads,4,0.141753633,1.09,27.4,500105.53243755037
process,1,0.414436062,0.37,37.4,500105.5324375518
process,2,0.521887135,0.3,14.9,500105.53243754513
process,3,0.729820737,0.21,7.1,500105.5324375535
process,4,0.698018635,0.22,5.6,500105.53243755037
multiprocess,1,0.325857033,0.48,47.6,500105.5324375518
multiprocess,2,0.547735452,0.28,14.2,500105.53243754513
multiprocess,3,0.65144034,0.24,7.9,500105.5324375535
multiprocess,4,0.506203433,0.31,7.7,500105.53243755037
