CONTEXTO DEL EXPERIMENTO:,sobel 750
HARDWARE DETALLADO:,"CPU: Intel64 Family 6 Model 158 Stepping 10, GenuineIntel | 6 Cores | Windows 
GPU: NVIDIA GeForce GTX 1060 6GB | 1024 Threads | Warp: 32 | Max Dim: 1024 x 1024"
METODOLOGÍA:,Promedio de 5 iteraciones por método

Método,Workers,T_Transf_IN(s),T_RGB_Promedio(s),T_Sobel_Promedio(s),T_Total_Computo(s),T_Transf_OUT(s),%_Blancos,Speed-Up,Performance(%)
secuencial,1,0.00000000,0.49513482,2.61434094,3.10947576,0.00000000,0.28373333,1.00x,100.0%4
numpy_cpu,1,0.00000000,0.00600780,0.02626344,0.03227124,0.00000000,0.28373333,96.35x,9635.4%
numba_cpu_paralelo,1,0.00000000,0.00079402,0.00278472,0.00357874,0.00000000,0.28373333,868.87x,86887.4%
numba_gpu_11_9,1,0.00162288,0.00043292,0.00070634,0.00113926,0.00046230,0.28373333,2729.38x,272938.2%
numba_gpu_8_8,1,0.00150002,0.00031106,0.00045972,0.00077078,0.00030520,0.28373333,4034.19x,403419.4%
numba_gpu_8_16,1,0.00150942,0.00029092,0.00046096,0.00075188,0.00034464,0.28373333,4135.60x,413560.1%
numba_gpu_8_128,1,0.00163252,0.00031708,0.00051438,0.00083146,0.00036816,0.28373333,3739.78x,373977.8%
numba_gpu_16_8,1,0.00155148,0.00042814,0.00048284,0.00091098,0.00032438,0.28373333,3413.33x,341333.0%
numba_gpu_16_16,1,0.00143190,0.00037702,0.00048576,0.00086278,0.00039964,0.28373333,3604.02x,360401.9%
numba_gpu_32_32,1,0.00159200,0.00047404,0.00053734,0.00101138,0.00032494,0.28373333,3074.49x,307448.8%
numba_gpu_128_8,1,0.00162924,0.00035582,0.00046114,0.00081696,0.00050970,0.28373333,3806.15x,380615.4%
pytorch_cpu,1,0.00000000,0.00277694,0.01437890,0.01715584,0.00000000,0.28373333,181.25x,18124.9%
pytorch_gpu,1,0.00135808,0.00037432,0.00551562,0.00588994,0.00057432,0.28373333,527.93x,52793.0%


==============================,==============================,==============================

CONTEXTO DEL EXPERIMENTO:,sobel 1500
HARDWARE DETALLADO:,"CPU: Intel64 Family 6 Model 158 Stepping 10, GenuineIntel | 6 Cores | Windows 
GPU: NVIDIA GeForce GTX 1060 6GB | 1024 Threads | Warp: 32 | Max Dim: 1024 x 1024"
METODOLOGÍA:,Promedio de 5 iteraciones por método

Método,Workers,T_Transf_IN(s),T_RGB_Promedio(s),T_Sobel_Promedio(s),T_Total_Computo(s),T_Transf_OUT(s),%_Blancos,Speed-Up,Performance(%)
secuencial,1,0.00000000,2.02521430,10.52146854,12.54668284,0.00000000,0.06062222,1.00x,100.0%
numpy_cpu,1,0.00000000,0.02510874,0.10843344,0.13354218,0.00000000,0.06062222,93.95x,9395.3%
numba_cpu_paralelo,1,0.00000000,0.00327600,0.01144326,0.01471926,0.00000000,0.06062222,852.40x,85239.9%
numba_gpu_11_9,1,0.00485852,0.00104918,0.00207178,0.00312096,0.00133072,0.06062222,4020.14x,402013.6%
numba_gpu_8_8,1,0.00474412,0.00078132,0.00167534,0.00245666,0.00169560,0.06062222,5107.21x,510721.2%
numba_gpu_8_16,1,0.00498452,0.00076198,0.00167326,0.00243524,0.00138924,0.06062222,5152.13x,515213.4%
numba_gpu_8_128,1,0.00499550,0.00075988,0.00171586,0.00247574,0.00263722,0.06062222,5067.85x,506785.2%
numba_gpu_16_8,1,0.00525474,0.00119684,0.00164216,0.00283900,0.00141706,0.06062222,4419.40x,441940.2%
numba_gpu_16_16,1,0.00510328,0.00116400,0.00164312,0.00280712,0.00145056,0.06062222,4469.59x,446959.3%
numba_gpu_32_32,1,0.00487106,0.00135232,0.00181332,0.00316564,0.00136444,0.06062222,3963.40x,396339.5%
numba_gpu_128_8,1,0.00473660,0.00080978,0.00164244,0.00245222,0.00145372,0.06062222,5116.46x,511645.9%
pytorch_cpu,1,0.00000000,0.01165812,0.06164418,0.07330230,0.00000000,0.06062222,171.16x,17116.4%
pytorch_gpu,1,0.00455358,0.00119356,0.00719638,0.00838994,0.00221416,0.06062222,1495.44x,149544.4%


==============================,==============================,==============================

CONTEXTO DEL EXPERIMENTO:,sobel 3000
