HARDWARE DETALLADO:,CPU: i386 | 4 Cores  | GPU: No detectada
SOFTWARE DETALLADO:,OS: Darwin 21.6.0 | Python: 3.12.0

Metodo,T_Perdido_Disco(s),T_Transf_IN(s),T_Computo_1(s),T_Computo_2(s),T_Computo_Total(s),T_Transf_OUT(s),T_Total_Global(s),Speed-Up,Performance(%)
secuencial,0.1054,0.0,133.3449,0.0,133.3449,0.0,133.4503,1.00x,100.0%
pytorch_cpu,0.0925,0.0,16.0377,0.0,16.0377,0.0,16.1302,8.27x,827.3%
secuencial,0.2049,0.0,241.5324,0.0,241.5324,0.0,241.7373,1.00x,100.0%
pytorch_cpu,0.1697,0.0,23.831,0.0,23.831,0.0,24.0007,10.07x,1007.2%
secuencial,0.1655,0.0,79.729,0.0,79.729,0.0,79.8945,1.00x,100.0%
pytorch_cpu,0.1668,0.0,23.0971,0.0,23.0971,0.0,23.2639,3.43x,343.4%
secuencial,0.0896,0.0,58.3297,0.0,58.3297,0.0,58.4193,1.00x,100.0%
pytorch_cpu,0.0514,0.0055,15.3783,0.0,15.3783,0.012,15.4472,3.78x,378.2%
secuencial,0.1038,0.0,57.7714,0.0,57.7714,0.0,57.8752,1.00x,100.0%
pytorch_cpu,0.0516,0.0,15.8175,0.0,15.8175,0.0,15.8691,3.65x,364.7%
secuencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00x,0.0%
pytorch_cpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00x,0.0%
secuencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00x,100.0%
pytorch_cpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00x,0.0%
