TIPO,WORKERS,TIEMPO_S,SPEEDUP,EFICIENCIA_PCT,RESULTADO
secuencial,1,23.885370063,1.0,100.0,"2,84e+35655"
threads,1,22.680599385,1.05,105.3,"2,84e+35655"
threads,2,22.558965122,1.06,52.9,"2,84e+35655"
threads,3,22.551406907,1.06,35.3,"2,84e+35655"
threads,4,22.733129749,1.05,26.3,"2,84e+35655"
multithreads,1,22.609833529,1.06,105.6,"2,84e+35655"
multithreads,2,22.818243919,1.05,52.3,"2,84e+35655"
multithreads,3,22.674030283,1.05,35.1,"2,84e+35655"
multithreads,4,22.859816467,1.04,26.1,"2,84e+35655"
process,1,24.028648168,0.99,99.4,"2,84e+35655"
process,2,15.719001825,1.52,76.0,"2,84e+35655"
process,3,12.473287578,1.91,63.8,"2,84e+35655"
process,4,12.070025255,1.98,49.5,"2,84e+35655"
multiprocess,1,24.172961361,0.99,98.8,"2,84e+35655"
multiprocess,2,13.004519875,1.84,91.8,"2,84e+35655"
multiprocess,3,12.506623826,1.91,63.7,"2,84e+35655"
multiprocess,4,12.123502971,1.97,49.3,"2,84e+35655"
