TIPO,WORKERS,TIEMPO_S,SPEEDUP,EFICIENCIA_PCT,RESULTADO
secuencial,1,4.3536e-05,1.0,100.0,"5,08e+467"
threads,1,0.000101716,0.43,42.8,"5,08e+467"
threads,2,0.000778103,0.06,2.8,"5,08e+467"
threads,3,0.000165697,0.26,8.8,"5,08e+467"
threads,4,0.000141469,0.31,7.7,"5,08e+467"
multithreads,1,0.000220794,0.2,19.7,"5,08e+467"
multithreads,2,0.000437006,0.1,5.0,"5,08e+467"
multithreads,3,0.000564572,0.08,2.6,"5,08e+467"
multithreads,4,0.000622728,0.07,1.7,"5,08e+467"
process,1,0.113556823,0.0,0.0,"5,08e+467"
process,2,0.098289176,0.0,0.0,"5,08e+467"
process,3,0.129420896,0.0,0.0,"5,08e+467"
process,4,0.215189691,0.0,0.0,"5,08e+467"
multiprocess,1,0.086197227,0.0,0.1,"5,08e+467"
multiprocess,2,0.102947744,0.0,0.0,"5,08e+467"
multiprocess,3,0.100214362,0.0,0.0,"5,08e+467"
multiprocess,4,0.124174775,0.0,0.0,"5,08e+467"
