# EXPERIMENTO: Suma en paralelo
# HARDWARE: 2 F / 4 L
# ESFUERZO: Aleatorio entre 1 y 50
# ELEMENTOS: 100000000
# 
TIPO,WORKERS,TIEMPO_S,SPEEDUP,EFICIENCIA_PCT,RESULTADO
process,3,7.769823545,1.44,47.9,49998151.26981553
process,4,8.035679945,1.39,34.8,49998151.269817784
process,2,8.105072122,1.38,68.9,49998151.269814804
multiprocess,4,8.292984759,1.35,33.7,49998151.269817784
multiprocess,3,8.365922102,1.34,44.5,49998151.26981553
multiprocess,2,9.006476418,1.24,62.0,49998151.269814804
threads,1,9.22408075,1.21,121.1,49998151.269820906
threads,2,9.243523968,1.21,60.4,49998151.269814804
threads,4,9.249557684,1.21,30.2,49998151.269817784
threads,3,9.343517905,1.2,39.8,49998151.26981553
multithreads,3,9.504368035,1.18,39.2,49998151.26981553
multithreads,4,9.505361559,1.18,29.4,49998151.269817784
multithreads,1,9.837166525,1.14,113.5,49998151.269820906
multithreads,2,10.742696997,1.04,52.0,49998151.269814804
secuencial,1,11.169967206,1.0,100.0,49998151.269820906
multiprocess,1,14.390799599,0.78,77.6,49998151.269820906
process,1,17.563185946,0.64,63.6,49998151.269820906
