# EXPERIMENTO: Suma en paralelo
# HARDWARE: 2 F / 4 L
# ESFUERZO: Aleatorio entre 1 y 50
# ELEMENTOS: 100000000
# 
TIPO,WORKERS,TIEMPO_S,SPEEDUP,EFICIENCIA_PCT,RESULTADO
secuencial,1,10.98581034,1.0,100.0,49998151.269820906
threads,1,9.211169943,1.19,119.3,49998151.269820906
threads,2,9.250238936,1.19,59.4,49998151.269814804
threads,3,9.365235068,1.17,39.1,49998151.26981553
threads,4,9.213507775,1.19,29.8,49998151.269817784
multithreads,1,9.686026087,1.13,113.4,49998151.269820906
multithreads,2,9.84825793,1.12,55.8,49998151.269814804
multithreads,3,9.523748361,1.15,38.5,49998151.26981553
multithreads,4,9.390152353,1.17,29.2,49998151.269817784
process,1,15.867054193,0.69,69.2,49998151.269820906
process,2,8.724077022,1.26,63.0,49998151.269814804
process,3,8.002733079,1.37,45.8,49998151.26981553
process,4,7.910858052,1.39,34.7,49998151.269817784
multiprocess,1,14.41579822,0.76,76.2,49998151.269820906
multiprocess,2,8.928483622,1.23,61.5,49998151.269814804
multiprocess,3,8.565891612,1.28,42.8,49998151.26981553
multiprocess,4,8.536922241,1.29,32.2,49998151.269817784
