TIPO,WORKERS,TIEMPO_S,SPEEDUP,EFICIENCIA_PCT,RESULTADO
secuencial,1,2.131126222,1.0,100.0,CHK-12074823019828
threads,1,0.6655641,3.2,320.2,CHK-12074823019828
threads,2,0.55671077,3.83,191.4,CHK-12074823019828
threads,3,0.669323443,3.18,106.1,CHK-12074823019828
threads,4,0.564117252,3.78,94.4,CHK-12074823019828
multithreads,1,0.512095076,4.16,416.2,CHK-12074823019828
multithreads,2,0.579470324,3.68,183.9,CHK-12074823019828
multithreads,3,0.657104961,3.24,108.1,CHK-12074823019828
multithreads,4,0.556569945,3.83,95.7,CHK-12074823019828
process,1,3.480405126,0.61,61.2,CHK-12074823019828
process,2,3.854154382,0.55,27.6,CHK-12074823019828
process,3,3.454264249,0.62,20.6,CHK-12074823019828
process,4,4.26827166,0.5,12.5,CHK-12074823019828
multiprocess,1,2.521364534,0.85,84.5,CHK-12074823019828
multiprocess,2,3.019228194,0.71,35.3,CHK-12074823019828
multiprocess,3,3.370968596,0.63,21.1,CHK-12074823019828
multiprocess,4,4.328347797,0.49,12.3,CHK-12074823019828
