TIPO,WORKERS,TIEMPO_S,SPEEDUP,EFICIENCIA_PCT,RESULTADO
secuencial,1,23.547290692,1.0,100.0,CHK-12074823019828
threads,1,23.146103969,1.02,101.7,CHK-12074823019828
threads,2,23.298866984,1.01,50.5,CHK-12074823019828
threads,3,23.481555521,1.0,33.4,CHK-12074823019828
threads,4,23.214199369,1.01,25.4,CHK-12074823019828
multithreads,1,23.280422082,1.01,101.1,CHK-12074823019828
multithreads,2,23.339625566,1.01,50.4,CHK-12074823019828
multithreads,3,23.351035993,1.01,33.6,CHK-12074823019828
multithreads,4,23.368670246,1.01,25.2,CHK-12074823019828
process,1,21.17332026,1.11,111.2,CHK-12074823019828
process,2,12.781643179,1.84,92.1,CHK-12074823019828
process,3,13.065319067,1.8,60.1,CHK-12074823019828
process,4,14.326191912,1.64,41.1,CHK-12074823019828
multiprocess,1,21.269662006,1.11,110.7,CHK-12074823019828
multiprocess,2,12.51935011,1.88,94.0,CHK-12074823019828
multiprocess,3,13.255229656,1.78,59.2,CHK-12074823019828
multiprocess,4,14.465979201,1.63,40.7,CHK-12074823019828
